No.,Ticker,Company,Country,Market Cap,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Earnings Date,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,After-Hours Close,timestamp
75,POWW,AMMO Inc,USA,236.57,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,1.02%,0.76%,-0.22%,-0.70%,0.78%,6.20%,10.28%,10.89%,9.07%,12.78%,24.84%,-20.28%,-19.64%,-5.48%,-10.18%,-5.48%,0.12,3.64%,6.72%,14.94%,-9.17%,-13.70%,6/13/2024 4:30:00 PM,9.07%,9.64%,703.25,17.68,1530399,1.66,1.82,2.02,1.79,1.99,19.58%,,2024-07-15 10:00:00
5,RUM,Rumble Inc,USA,1861.79,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,0.00%,-0.75%,-0.75%,-0.75%,-0.15%,-0.15%,-0.15%,-0.15%,-0.15%,-0.15%,15.59%,13.60%,3.77%,77.90%,-24.83%,46.99%,0.3,3.98%,4.13%,17.64%,5.66%,12.01%,5/14/2024 4:30:00 PM,-2.51%,13.97%,1138.4,8.49,483405,5.94,6.77,6.83,6.6,6.6,11.11%,,2024-07-15 07:15:00
8,RUM,Rumble Inc,USA,1822.3,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,-0.46%,-0.77%,-0.77%,-0.77%,-2.42%,-1.37%,-2.12%,-2.27%,-2.27%,-2.27%,13.13%,11.19%,1.57%,74.12%,-26.42%,43.88%,0.3,3.98%,4.13%,15.14%,3.42%,9.63%,5/14/2024 4:30:00 PM,-4.58%,13.97%,1138.4,9.52,541818,5.94,6.77,6.83,6.46,6.46,8.75%,,2024-07-15 07:30:00
8,RUM,Rumble Inc,USA,1822.3,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,-0.46%,-0.77%,-0.77%,-0.77%,-2.42%,-1.37%,-2.12%,-2.27%,-2.27%,-2.27%,13.13%,11.19%,1.57%,74.12%,-26.42%,43.88%,0.3,3.98%,4.13%,15.14%,3.42%,9.63%,5/14/2024 4:30:00 PM,-4.58%,13.97%,1138.4,9.52,541818,5.94,6.77,6.83,6.46,6.46,8.75%,,2024-07-15 07:45:00
9,RUM,Rumble Inc,USA,1864.61,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,2.16%,2.16%,2.16%,2.16%,2.32%,2.32%,-0.15%,0.00%,0.00%,0.00%,15.76%,13.77%,3.93%,78.17%,-24.72%,47.22%,0.31,3.98%,4.13%,17.81%,5.82%,12.18%,5/14/2024 4:30:00 PM,-2.36%,13.97%,1138.4,11.19,636669,5.94,6.77,6.95,6.44,6.61,11.28%,,2024-07-15 08:00:00
9,RUM,Rumble Inc,USA,1808.2,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,0.00%,-0.62%,-0.62%,-0.77%,0.31%,0.16%,-0.93%,-1.84%,-3.03%,-3.03%,12.26%,10.33%,0.79%,72.78%,-26.99%,42.76%,0.33,3.98%,4.13%,14.25%,2.62%,8.78%,5/14/2024 4:30:00 PM,-5.32%,13.97%,1138.4,11.88,676241,5.94,6.77,7.29,6.37,6.41,7.91%,,2024-07-15 08:15:00
9,RUM,Rumble Inc,USA,1827.94,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,0.46%,0.00%,0.47%,0.47%,0.62%,0.47%,-3.82%,-2.11%,-1.97%,-1.97%,13.49%,11.53%,1.89%,74.66%,-26.20%,44.32%,0.33,3.98%,4.13%,15.50%,3.74%,9.97%,5/14/2024 4:30:00 PM,-4.28%,13.97%,1138.4,12.16,692377,5.94,6.77,7.29,6.37,6.48,9.09%,,2024-07-15 08:30:00
11,RUM,Rumble Inc,USA,1822.3,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,0.59%,0.00%,0.16%,0.31%,-0.62%,-0.46%,0.16%,0.00%,-2.27%,-2.27%,13.13%,11.19%,1.57%,74.12%,-26.42%,43.88%,0.33,3.98%,4.13%,15.14%,3.42%,9.63%,5/14/2024 4:30:00 PM,-4.58%,13.97%,1138.4,12.42,707022,5.94,6.77,7.29,6.37,6.46,8.75%,,2024-07-15 08:45:00
10,RUM,Rumble Inc,USA,1884.36,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,0.30%,1.37%,1.52%,1.83%,2.77%,3.09%,2.93%,-0.85%,1.06%,1.06%,16.99%,14.97%,5.03%,80.05%,-23.92%,48.78%,0.33,3.98%,4.13%,19.06%,6.95%,13.37%,5/14/2024 4:30:00 PM,-1.33%,13.97%,1138.4,13.87,789685,5.94,6.77,7.29,6.37,6.68,12.46%,,2024-07-15 09:00:00
10,RUM,Rumble Inc,USA,1881.77,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,-0.73%,-0.29%,0.01%,0.62%,0.77%,-0.88%,2.94%,3.42%,1.07%,0.92%,16.83%,14.82%,4.89%,79.81%,-24.02%,48.57%,0.33,3.98%,4.13%,18.90%,6.80%,13.21%,5/14/2024 4:30:00 PM,-1.47%,13.97%,1138.4,15.21,865798,5.94,6.77,7.29,6.37,6.67,12.30%,,2024-07-15 09:15:00
20,RUM,Rumble Inc,USA,1875.9,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,-0.75%,-0.75%,-2.62%,-0.75%,0.15%,-0.60%,-1.19%,2.47%,0.45%,0.61%,16.46%,14.46%,4.56%,79.25%,-24.26%,48.11%,0.29,3.98%,4.13%,18.53%,6.46%,12.86%,5/14/2024 4:30:00 PM,-0.89%,12.96%,1138.4,20.41,1161797,5.94,6.71,6.72,6.6,6.65,11.95%,,2024-07-15 09:30:00
42,RUM,Rumble Inc,USA,1781.4,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,0.20%,-0.08%,-0.08%,-0.52%,-3.73%,-6.72%,-5.61%,-2.55%,-2.24%,-4.46%,10.60%,8.69%,-0.71%,70.22%,-28.08%,40.65%,0.3,3.98%,4.13%,12.56%,1.10%,7.17%,5/14/2024 4:30:00 PM,-5.89%,12.96%,1138.4,20.46,2015737,5.94,6.71,6.83,6.25,6.32,6.31%,,2024-07-15 09:45:00
66,RUM,Rumble Inc,USA,1827.94,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.8,0.76%,0.86%,0.93%,1.09%,1.65%,3.84%,-4.28%,-3.71%,-3.82%,-1.97%,13.49%,11.53%,1.89%,74.66%,-26.20%,44.32%,0.3,3.98%,4.13%,15.50%,3.74%,9.97%,5/14/2024 4:30:00 PM,-3.43%,12.96%,1138.4,16.82,2357187,5.94,6.71,6.83,6.24,6.48,9.09%,,2024-07-15 10:00:00
159,RVMD,Revolution Medicines Inc,USA,7447.65,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,-0.37%,-0.37%,-0.37%,-0.37%,0.02%,0.02%,0.02%,0.02%,1.39%,2.64%,20.28%,15.68%,20.66%,57.39%,67.56%,57.39%,1.75,5.74%,3.81%,15.45%,15.84%,47.04%,5/8/2024 4:30:00 PM,0.53%,3.58%,1351.15,2.3,3062082,43.35,44.9,45.26,43.27,45.14,4.13%,45.83,2024-07-15 07:00:00
13,RVMD,Revolution Medicines Inc,USA,7924.47,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,-1.98%,-0.76%,-1.98%,-4.42%,0.06%,-5.84%,6.88%,6.88%,6.88%,6.88%,21.35%,20.11%,33.16%,69.72%,81.04%,67.47%,2.92,5.74%,3.81%,22.04%,22.76%,56.06%,5/8/2024 4:30:00 PM,6.88%,-0.44%,1351.15,2.76,186180,45.14,44.94,55.75,37.53,48.03,6.40%,,2024-07-15 08:15:00
14,RVMD,Revolution Medicines Inc,USA,8233.0,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,-0.10%,-4.00%,-4.06%,-4.04%,3.83%,3.10%,10.45%,11.09%,11.04%,11.04%,26.07%,24.78%,38.34%,76.33%,88.09%,73.99%,2.92,5.74%,3.81%,26.79%,27.54%,62.13%,5/8/2024 4:30:00 PM,11.04%,-0.44%,1351.15,4.98,336196,45.14,44.94,55.75,37.53,49.9,10.54%,,2024-07-15 08:30:00
16,RVMD,Revolution Medicines Inc,USA,7886.52,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,0.10%,-1.44%,0.02%,-1.09%,-3.97%,-2.45%,-1.24%,6.36%,6.36%,6.36%,20.77%,19.53%,32.52%,68.90%,80.17%,66.67%,2.92,5.74%,3.81%,21.46%,22.17%,55.31%,5/8/2024 4:30:00 PM,6.36%,-0.44%,1351.15,6.52,440786,45.14,44.94,55.75,37.53,47.8,5.89%,,2024-07-15 08:45:00
15,RVMD,Revolution Medicines Inc,USA,7870.04,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,-1.85%,-2.63%,-2.65%,-1.95%,-0.62%,-0.10%,-4.50%,5.58%,6.14%,6.14%,20.52%,19.28%,32.24%,68.55%,79.80%,66.32%,2.92,5.74%,3.81%,21.20%,21.92%,54.99%,5/8/2024 4:30:00 PM,6.14%,-0.44%,1351.15,8.71,588483,45.14,44.94,55.75,37.53,47.7,5.67%,,2024-07-15 09:00:00
16,RVMD,Revolution Medicines Inc,USA,8035.01,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,-0.02%,-0.02%,0.62%,0.62%,-0.55%,2.10%,1.99%,-0.61%,8.37%,8.37%,23.04%,21.78%,35.02%,72.08%,83.57%,69.80%,2.92,5.74%,3.81%,23.74%,24.47%,58.23%,5/8/2024 4:30:00 PM,8.37%,-0.44%,1351.15,9.05,611684,45.14,44.94,55.75,37.53,48.7,7.89%,,2024-07-15 09:15:00
31,RVMD,Revolution Medicines Inc,USA,7828.78,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,-0.11%,-0.11%,0.85%,-3.14%,-4.04%,-2.59%,-1.64%,-3.16%,5.63%,5.59%,19.88%,18.65%,31.55%,67.67%,78.85%,65.45%,1.84,5.74%,3.81%,20.57%,21.28%,54.17%,5/8/2024 4:30:00 PM,0.00%,5.12%,1351.15,11.56,781119,45.14,47.45,48.23,47.45,47.45,5.12%,,2024-07-15 09:30:00
93,RVMD,Revolution Medicines Inc,USA,7508.69,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,-0.15%,1.27%,1.11%,2.51%,3.23%,3.20%,-2.92%,-5.66%,0.73%,1.27%,14.98%,13.80%,26.17%,60.81%,71.54%,58.68%,2.02,5.74%,3.81%,15.64%,16.32%,47.87%,5/8/2024 4:30:00 PM,-4.09%,5.12%,1351.15,14.57,2422811,45.14,47.45,48.23,42.61,45.51,0.82%,,2024-07-15 10:00:00
140,SMR,NuScale Power Corporation,USA,1358.2,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,-0.07%,-0.07%,-0.13%,-0.13%,-0.13%,-0.14%,-0.07%,-0.39%,-0.46%,-0.29%,25.53%,71.21%,188.35%,506.32%,101.05%,366.26%,1.29,11.69%,11.76%,41.04%,77.60%,202.07%,8/8/2024 4:30:00 PM,14.99%,2.14%,5219.98,2.54,12852645,13.06,13.34,15.7,12.95,15.34,17.46%,15.23,2024-07-15 07:00:00
10,SMR,NuScale Power Corporation,USA,1456.48,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,0.00%,0.24%,0.30%,0.38%,0.94%,1.92%,3.61%,3.46%,3.46%,3.46%,20.16%,94.67%,212.14%,602.99%,109.02%,400.00%,1.27,11.69%,11.76%,46.60%,86.33%,220.71%,8/8/2024 4:30:00 PM,3.39%,3.72%,5219.98,2.31,603661,15.34,15.91,16.45,15.4,16.45,7.24%,,2024-07-15 08:30:00
12,SMR,NuScale Power Corporation,USA,1451.17,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,0.01%,0.01%,-0.06%,0.00%,-0.12%,-0.53%,1.55%,2.76%,3.08%,3.08%,19.72%,93.96%,211.01%,600.43%,108.26%,398.18%,1.28,11.69%,11.76%,46.07%,85.65%,219.54%,8/8/2024 4:30:00 PM,3.02%,3.72%,5219.98,2.56,668858,15.34,15.91,16.48,15.4,16.39,6.84%,,2024-07-15 08:45:00
11,SMR,NuScale Power Corporation,USA,1430.81,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,0.00%,-0.36%,-0.62%,-1.10%,-1.66%,-1.41%,-1.93%,1.79%,1.64%,1.64%,18.04%,91.24%,206.64%,590.60%,105.34%,391.19%,1.28,11.69%,11.76%,44.02%,83.05%,215.06%,8/8/2024 4:30:00 PM,1.57%,3.72%,5219.98,2.92,762567,15.34,15.91,16.49,15.4,16.16,5.35%,,2024-07-15 09:00:00
11,SMR,NuScale Power Corporation,USA,1447.2,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,-0.03%,0.03%,0.22%,0.52%,0.81%,1.21%,-0.28%,1.27%,2.74%,2.80%,19.40%,93.43%,210.16%,598.51%,107.69%,396.81%,1.28,11.69%,11.76%,45.67%,85.14%,218.67%,8/8/2024 4:30:00 PM,2.74%,3.72%,5219.98,3.09,807370,15.34,15.91,16.49,15.4,16.35,6.55%,,2024-07-15 09:15:00
21,SMR,NuScale Power Corporation,USA,1479.5,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,-0.59%,-0.55%,-0.53%,0.54%,2.08%,2.26%,3.47%,1.41%,5.09%,5.09%,22.06%,97.75%,217.08%,614.10%,112.33%,407.90%,1.3,11.69%,11.76%,48.92%,89.28%,225.78%,8/8/2024 4:30:00 PM,-0.65%,9.65%,5219.98,3.71,967400,15.34,16.82,16.75,16.71,16.71,8.93%,,2024-07-15 09:30:00
45,SMR,NuScale Power Corporation,USA,1468.06,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,1.57%,1.85%,1.29%,2.04%,0.71%,-0.83%,1.47%,1.16%,3.95%,4.28%,21.12%,96.22%,214.62%,608.58%,110.68%,403.97%,1.31,11.69%,11.76%,47.76%,87.81%,223.26%,8/8/2024 4:30:00 PM,-1.42%,9.65%,5219.98,6.37,2875711,15.34,16.82,16.9,15.95,16.58,8.09%,,2024-07-15 09:45:00
70,SMR,NuScale Power Corporation,USA,1455.6,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,0.06%,0.06%,-0.48%,-0.30%,0.98%,0.49%,-1.67%,1.80%,3.55%,3.40%,20.09%,94.56%,211.95%,602.56%,108.89%,399.70%,1.31,11.69%,11.76%,46.51%,86.22%,220.52%,8/8/2024 4:30:00 PM,-2.26%,9.65%,5219.98,5.81,3731788,15.34,16.82,16.9,15.95,16.44,7.17%,,2024-07-15 10:00:00
