No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Cash/sh,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Gap,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,timestamp,Change from Open,Average Volume,After-Hours Close,After-Hours Change
5,GDTC,CytoMed Therapeutics Ltd,Healthcare,Biotechnology,Singapore,28.99,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.48%,-1.49%,-0.72%,-0.32%,5.10%,-5.57%,-16.55%,14.18%,14.18%,14.18%,16.83%,20.77%,21.94%,-44.67%,-55.46%,-48.74%,0.3,6.54%,3.57%,23.99%,21.75%,-13.77%,12.24%,10269.38,2152135,1.96,2.2,4.89,2.15,2.51,28.16%,2024-07-17 08:15:00,14.18%,4.19,,
5,GDTC,CytoMed Therapeutics Ltd,Healthcare,Biotechnology,Singapore,28.5,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,-1.20%,0.82%,-1.20%,-3.13%,-5.00%,-1.16%,3.35%,-22.08%,12.28%,12.28%,14.89%,18.76%,19.91%,-45.59%,-56.20%,-49.59%,0.31,6.54%,3.57%,21.93%,19.73%,-15.21%,12.24%,11697.41,2451404,1.96,2.2,4.99,2.15,2.47,26.03%,2024-07-17 08:30:00,12.28%,4.19,,
4,GDTC,CytoMed Therapeutics Ltd,Healthcare,Biotechnology,Singapore,27.7,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.00%,-2.83%,-2.83%,-0.81%,-2.04%,-4.00%,-5.51%,-20.27%,9.09%,9.09%,11.63%,15.39%,16.50%,-47.14%,-57.45%,-51.02%,0.31,6.54%,3.57%,18.47%,16.33%,-17.61%,12.24%,11930.19,2500187,1.96,2.2,4.99,2.15,2.4,22.45%,2024-07-17 08:45:00,9.09%,4.19,,
5,GDTC,CytoMed Therapeutics Ltd,Healthcare,Biotechnology,Singapore,27.7,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,-0.83%,-1.64%,-2.04%,-2.83%,0.84%,3.45%,-4.00%,-9.77%,9.09%,9.09%,11.63%,15.39%,16.50%,-47.14%,-57.45%,-51.02%,0.31,6.54%,3.57%,18.47%,16.33%,-17.61%,12.24%,12136.04,2543327,1.96,2.2,4.99,2.15,2.4,22.45%,2024-07-17 09:00:00,9.09%,4.19,,
4,GDTC,CytoMed Therapeutics Ltd,Healthcare,Biotechnology,Singapore,28.27,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.82%,0.41%,0.00%,0.41%,0.82%,-0.41%,4.70%,0.41%,11.36%,11.36%,13.95%,17.79%,18.93%,-46.04%,-56.56%,-50.00%,0.31,6.54%,3.57%,20.94%,18.75%,-15.90%,12.24%,12427.27,2604360,1.96,2.2,4.99,2.15,2.45,25.00%,2024-07-17 09:15:00,11.36%,4.19,,
6,GDTC,CytoMed Therapeutics Ltd,Healthcare,Biotechnology,Singapore,27.23,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.85%,2.16%,1.72%,2.61%,-2.48%,-3.28%,0.00%,-5.60%,0.00%,7.27%,9.77%,13.47%,14.56%,-48.02%,-58.16%,-51.84%,0.12,6.54%,3.57%,16.49%,14.39%,-18.99%,15.82%,12795.53,2681536,1.96,2.27,2.36,2.27,2.36,20.41%,2024-07-17 09:30:00,3.96%,4.19,,
20,GDTC,CytoMed Therapeutics Ltd,Healthcare,Biotechnology,Singapore,23.77,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.17%,0.00%,-0.00%,0.98%,-4.28%,-11.58%,-15.57%,-11.21%,-31.56%,-6.36%,-4.19%,-0.96%,0.00%,-54.63%,-63.48%,-57.96%,0.12,6.54%,3.57%,1.69%,-0.15%,-29.29%,15.82%,8102.69,2938958,1.96,2.27,2.36,2.0,2.06,5.10%,2024-07-17 09:45:00,-9.25%,4.19,,
26,GDTC,CytoMed Therapeutics Ltd,Healthcare,Biotechnology,Singapore,23.54,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,3.82%,3.56%,2.82%,-0.84%,-4.66%,-0.81%,-12.82%,-15.71%,-25.55%,-7.27%,-5.12%,-1.92%,-0.97%,-55.07%,-63.83%,-58.37%,0.12,6.54%,3.57%,0.70%,-1.12%,-29.97%,15.82%,5840.42,3012838,1.96,2.27,2.36,1.95,2.04,4.08%,2024-07-17 10:00:00,-10.13%,4.19,,
6,LGVN,Longeveron Inc,Healthcare,Biotechnology,USA,29.9,,0.36,6.35,4.4,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,-0.24%,-0.24%,-1.49%,1.70%,1.92%,15.41%,33.39%,31.90%,31.90%,31.90%,3.49%,47.61%,33.39%,-54.72%,-86.66%,-65.38%,0.71,27.05%,22.18%,88.58%,158.04%,-47.61%,1.42%,7.42,3526512,3.52,3.57,4.89,3.53,4.71,33.77%,2024-07-17 08:15:00,31.90%,9500.39,,
6,LGVN,Longeveron Inc,Healthcare,Biotechnology,USA,27.31,,0.36,6.35,4.4,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,-1.63%,-4.66%,-5.29%,-4.66%,-7.92%,-6.93%,-1.60%,20.79%,20.45%,20.45%,-5.49%,34.80%,21.81%,-58.65%,-87.82%,-68.38%,0.71,27.05%,22.18%,72.21%,135.64%,-52.16%,1.42%,12.93,6141410,3.52,3.57,4.98,3.53,4.3,22.16%,2024-07-17 08:30:00,20.45%,9500.39,,
